SiteName,MonitorDate,Concentration,ItemUnit
三義,20200301,23,μgm3
新營,20200301,33,μgm3
桃園,20200301,24,μgm3
嘉義,20200301,40,μgm3
士林,20200301,12,μgm3
朴子,20200301,29,μgm3
斗六,20200301,38,μgm3
豐原,20200301,23,μgm3
彰化,20200301,28,μgm3
萬華,20200301,16,μgm3
忠明,20200301,30,μgm3
士林,20200227,7,μgm3
萬華,20200227,11,μgm3
南投,20200227,25,μgm3
新營,20200227,36,μgm3
汐止,20200227,12,μgm3
苗栗,20200227,15,μgm3
平鎮,20200227,13,μgm3
桃園,20200227,11,μgm3
臺東,20200227,7,μgm3
金門,20200227,17,μgm3
恆春,20200227,5,μgm3
新竹,20200227,14,μgm3
朴子,20200227,28,μgm3
花蓮,20200227,11,μgm3
斗六,20200227,35,μgm3
忠明,20200227,18,μgm3
宜蘭,20200227,8,μgm3
馬公,20200227,13,μgm3
豐原,20200227,15,μgm3
美濃,20200227,30,μgm3
竹東,20200227,9,μgm3
彰化,20200227,20,μgm3
三義,20200227,16,μgm3
基隆,20200227,12,μgm3
陽明,20200227,-2,μgm3
馬祖,20200227,23,μgm3
臺南,20200227,34,μgm3
屏東,20200227,37,μgm3
嘉義,20200227,39,μgm3
前金,20200227,44,μgm3
板橋,20200227,11,μgm3
豐原,20200224,50,μgm3
馬公,20200224,29,μgm3
陽明,20200224,8,μgm3
萬華,20200224,13,μgm3
美濃,20200224,33,μgm3
竹東,20200224,32,μgm3
朴子,20200224,44,μgm3
忠明,20200224,56,μgm3
新營,20200224,48,μgm3
板橋,20200224,14,μgm3
平鎮,20200224,28,μgm3
南投,20200224,55,μgm3
三義,20200224,39,μgm3
士林,20200224,13,μgm3
臺南,20200224,43,μgm3
苗栗,20200224,42,μgm3
汐止,20200224,12,μgm3
桃園,20200224,28,μgm3
恆春,20200224,11,μgm3
新竹,20200224,35,μgm3
前金,20200224,36,μgm3
花蓮,20200224,10,μgm3
宜蘭,20200224,11,μgm3
嘉義,20200224,50,μgm3
彰化,20200224,52,μgm3
屏東,20200224,38,μgm3
基隆,20200224,12,μgm3
馬祖,20200224,45,μgm3
臺東,20200224,10,μgm3
金門,20200224,28,μgm3
平鎮,20200221,21,μgm3
南投,20200221,37,μgm3
臺東,20200221,9,μgm3
竹東,20200221,22,μgm3
陽明,20200221,9,μgm3
三義,20200221,21,μgm3
臺南,20200221,41,μgm3
汐止,20200221,14,μgm3
恆春,20200221,9,μgm3
新竹,20200221,18,μgm3
彰化,20200221,26,μgm3
馬公,20200221,12,μgm3
馬祖,20200221,10,μgm3
基隆,20200221,12,μgm3
萬華,20200221,18,μgm3
朴子,20200221,32,μgm3
花蓮,20200221,10,μgm3
新營,20200221,44,μgm3
美濃,20200221,33,μgm3
金門,20200221,14,μgm3
板橋,20200221,18,μgm3
豐原,20200221,33,μgm3
宜蘭,20200221,9,μgm3
桃園,20200221,21,μgm3
苗栗,20200221,22,μgm3
忠明,20200221,29,μgm3
士林,20200221,14,μgm3
屏東,20200221,39,μgm3
嘉義,20200221,52,μgm3
前金,20200221,39,μgm3
前金,20200218,18,μgm3
士林,20200218,10,μgm3
彰化,20200218,12,μgm3
苗栗,20200218,12,μgm3
斗六,20200218,21,μgm3
新竹,20200218,11,μgm3
恆春,20200218,8,μgm3
金門,20200218,11,μgm3
嘉義,20200218,21,μgm3
平鎮,20200218,11,μgm3
南投,20200218,19,μgm3
桃園,20200218,11,μgm3
三義,20200218,11,μgm3
忠明,20200218,11,μgm3
豐原,20200218,11,μgm3
陽明,20200218,10,μgm3
臺南,20200218,16,μgm3
汐止,20200218,11,μgm3
臺東,20200218,10,μgm3
馬祖,20200218,12,μgm3
朴子,20200218,16,μgm3
新營,20200218,18,μgm3
馬公,20200218,13,μgm3
竹東,20200218,10,μgm3
板橋,20200218,11,μgm3
美濃,20200218,25,μgm3
屏東,20200218,28,μgm3
基隆,20200218,11,μgm3
花蓮,20200218,11,μgm3
萬華,20200218,11,μgm3
宜蘭,20200218,10,μgm3
南投,20200215,22,μgm3
基隆,20200215,11,μgm3
屏東,20200215,7,μgm3
金門,20200215,15,μgm3
忠明,20200215,22,μgm3
竹東,20200215,19,μgm3
陽明,20200215,8,μgm3
豐原,20200215,18,μgm3
臺南,20200215,17,μgm3
花蓮,20200215,9,μgm3
新竹,20200215,17,μgm3
臺東,20200215,7,μgm3
宜蘭,20200215,12,μgm3
恆春,20200215,7,μgm3
桃園,20200215,18,μgm3
前金,20200215,11,μgm3
汐止,20200215,14,μgm3
彰化,20200215,25,μgm3
士林,20200215,12,μgm3
苗栗,20200215,25,μgm3
萬華,20200215,13,μgm3
馬公,20200215,13,μgm3
平鎮,20200215,17,μgm3
斗六,20200215,28,μgm3
三義,20200215,16,μgm3
板橋,20200215,15,μgm3
馬祖,20200215,15,μgm3
新營,20200215,23,μgm3
美濃,20200215,11,μgm3
朴子,20200215,29,μgm3
豐原,20200212,33,μgm3
板橋,20200212,36,μgm3
斗六,20200212,55,μgm3
汐止,20200212,24,μgm3
新竹,20200212,32,μgm3
朴子,20200212,47,μgm3
馬祖,20200212,44,μgm3
宜蘭,20200212,10,μgm3
士林,20200212,27,μgm3
屏東,20200212,17,μgm3
臺東,20200212,8,μgm3
前金,20200212,19,μgm3
嘉義,20200212,37,μgm3
恆春,20200212,8,μgm3
平鎮,20200212,30,μgm3
馬公,20200212,29,μgm3
南投,20200212,36,μgm3
