年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦輔助機械製圖與製造D,工業類,2014/10/27,2015/6/12,高中/職(含)以上,1232,92.31%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電機控制節能(五股),工業類,2014/12/22,2015/8/3,專科(含)以上,1200,92.31%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械設計與製造【設計組】(五股),工業類,2013/12/20,2014/6/26,專科(含)以上,1000,92.31%
2014,勞動力發展署桃竹苗分署,新竹市田美三街2號,芳香舒壓實務(移地訓練),醫事護理及家事類,2014/7/9,2014/9/24,國中(含)以上,440,92.31%
2014,勞動力發展署桃竹苗分署,苗栗縣竹南鎮科北二路2號,稅務會計文書實務班,商業類,2014/7/17,2014/9/12,高中/職(含)以上,320,92.31%
2014,勞動力發展署桃竹苗分署,苗栗縣竹南鎮科北二路2號,國際貿易進出口管理實務,商業類,2014/9/10,2014/11/5,高中/職(含)以上,320,92.31%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,冷凍空調節能（B）,工業類,2014/7/14,2014/12/19,不限,900,92.31%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦數值控制機械-CNC銑車中心,工業類,2014/1/6,2014/4/30,高中/職(含)以上,600,92.31%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,鋼結構製作,工業類,2014/1/8,2014/6/26,高中/職(含)以上,900,92.31%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦裝修D,工業類,2015/12/7,2016/3/4,高中/職(含)以上,460,92.31%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,電腦輔助產品開發-AutoCAD班（幼獅）,工業類,2015/7/7,2015/12/15,高中/職(含)以上,900,92.31%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,遊戲開發班（幼獅）,工業類,2015/5/26,2015/11/3,專科(含)以上,900,92.31%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,嵌入式Android系統班（幼獅）,工業類,2015/7/21,2015/12/29,專科(含)以上,900,92.31%
