年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務(設計組),商業類,2012/1/12,2012/6/27,專科(含)以上,900,82.61%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,消防安全設備管理,工業類,2012/7/18,2012/12/28,高中/職(含)以上,936,82.61%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦組裝與軟體應用實務,工業類,2012/9/3,2012/11/8,高中/職(含)以上,366,82.61%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號, 網路行銷A班,工業類,2013/3/25,2013/7/16,高中/職(含)以上,616,82.61%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,堆高機操作,工業類,2013/6/5,2013/6/7,國中(含)以上,24,82.61%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,資訊電子應用,工業類,2013/7/9,2013/12/19,專科(含)以上,900,82.61%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號, 儀電控制,工業類,2013/7/9,2014/6/3,高中/職(含)以上,1800,82.61%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,數位影音特效,商業類,2014/1/6,2014/6/24,高中/職(含)以上,900,82.61%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號, 冷凍空調配線(高雄),工業類,2015/4/14,2015/9/30,高中/職(含)以上,900,82.61%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,機械與電控維修班,工業類,2012/11/26,2013/9/6,高中/職(含)以上,1544,82.76%
2013,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,電腦輔助機械繪圖,工業類,2013/1/23,2013/6/28,高中/職(含)以上,840,82.76%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,室內水電技術,工業類,2012/8/20,2013/2/1,國中(含)以上,928,83.33%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網路商務技術應用設計,工業類,2012/5/14,2012/10/30,高中/職(含)以上,912,83.33%
2012,勞動力發展署北基宜花金馬分署,基隆市中正區和平島平一路21號之5,空調機電(基隆),工業類,2012/8/27,2013/2/27,高中/職(含)以上,1000,83.33%
2012,勞動力發展署北基宜花金馬分署,宜蘭縣員山鄉員山路3段500巷1號,造園景觀維護(宜蘭),農業類,2012/8/27,2012/12/10,國中(含)以上,600,83.33%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服飾創意實務,醫事護理及家事類,2012/1/12,2012/6/27,高中/職(含)以上,900,83.33%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,創意商品網拍設計,工業類,2012/9/5,2012/12/28,高中/職(含)以上,656,83.33%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,創意電子產品設計,工業類,2012/11/5,2013/4/19,專科(含)以上,880,83.33%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,網頁實務應用身心障礙者專班,商業類,2013/4/29,2013/7/23,高中/職(含)以上,472,83.33%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,工業配線(自動化控制),工業類,2013/1/7,2013/7/2,高中/職(含)以上,928,83.33%
2013,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,模具設計與製造【設計組】(泰山),工業類,2013/10/1,2014/5/15,專科(含)以上,1200,83.33%
2013,勞動力發展署北基宜花金馬分署,宜蘭縣員山鄉員山路３段500巷1號,造園景觀維護(宜蘭),農業類,2013/1/14,2013/5/10,國中(含)以上,600,83.33%
2013,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,模具設計與製造【製造組】(泰山),工業類,2013/3/4,2013/8/29,高中/職(含)以上,1000,83.33%
2013,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,應用電子(太陽能光電技術),工業類,2013/1/23,2013/6/28,高中/職(含)以上,840,83.33%
2013,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,工業電子（無線智慧型感測技術應用）,工業類,2013/1/23,2013/6/28,高中/職(含)以上,840,83.33%
2013,行政院勞工委員會職業訓練局泰山職業訓練中心,新北市泰山區貴子里致遠新村55之1號,數位電子,工業類,2013/7/17,2013/12/25,高中/職(含)以上,900,83.33%
2014,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,機電整合B,工業類,2014/8/4,2015/3/24,高中/職(含)以上,1216,83.33%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,建築空間繪圖,工業類,2014/9/24,2015/2/26,高中/職(含)以上,864,83.33%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,物流管理,商業類,2014/4/8,2014/6/5,高中/職(含)以上,300,83.33%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,電腦數值控制-CNC車床,工業類,2014/10/1,2015/3/19,專科(含)以上,900,83.33%
2015,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械製圖(五股),工業類,2015/5/4,2015/10/16,高中/職(含)以上,920,83.33%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,雲端網路班（幼獅）,工業類,2015/1/20,2015/7/10,專科(含)以上,900,83.33%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,工業控制(與室內配線),工業類,2015/10/21,2016/3/25,高中/職(含)以上,856,83.33%
2015,勞動力發展署雲嘉南分署,嘉義縣朴子市稻江科技暨管理學院／故宮南院-敞房咖啡廳,餐飲服務員訓練班,醫事護理及家事類,2015/12/15,2016/1/8,高中/職(含)以上,104,83.33%
2015,勞動力發展署雲嘉南分署,雲林縣虎尾鎮林森路１段249號,新潮髮藝整體造型新秘人員訓練班(客製化訓用合一),商業類,2015/12/7,2016/3/21,不限,450,83.33%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,建築空間繪圖(台南),工業類,2015/4/22,2015/9/25,高中/職(含)以上,896,83.33%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,工業控制(PLC工業自動化)(台南),工業類,2015/4/22,2015/9/25,高中/職(含)以上,896,83.33%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,機械與電控維修,工業類,2012/2/13,2012/11/16,高中/職(含)以上,1528,84.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路,工業配線(自動化控制),工業類,2012/7/16,2012/12/28,高中/職(含)以上,936,84.00%
2012,勞動力發展署北基宜花金馬分署,新北市五股區五權路21號6F,電腦輔助機械設計與製造(五股),工業類,2012/1/2,2012/7/4,專科(含)以上,1000,84.00%
2012,勞動力發展署北基宜花金馬分署,新北市五股區五權路21號6F,電腦輔助機械設計與製造(五股),工業類,2012/3/21,2012/9/13,專科(含)以上,1000,84.00%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,室內設計,商業類,2015/1/21,2015/6/26,高中/職(含)以上,840,84.00%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,自動控制(微處理＆PLC控制),工業類,2012/7/18,2012/12/28,高中/職(含)以上,936,84.21%
2012,勞動力發展署高屏澎東分署,澎湖縣馬公市民族路63號,綠能節電配線,工業類,2012/12/4,2013/1/21,國中(含)以上,304,84.21%
2013,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,水電空調(五股),工業類,2013/7/25,2014/2/11,高中/職(含)以上,1080,84.21%
2013,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,機電整合(五股),工業類,2013/8/19,2014/3/28,高中/職(含)以上,1200,84.21%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,機電整合(五股),工業類,2014/11/3,2015/6/12,高中/職(含)以上,1200,84.21%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,服裝樣版設計,醫事護理及家事類,2014/1/6,2014/6/24,高中/職(含)以上,900,84.21%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,網路伺服器管理及規劃班,工業類,2014/1/8,2014/6/30,專科(含)以上,900,84.21%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,UI/UX介面視覺設計師班,工業類,2015/12/17,2016/1/28,不限,240,84.21%
2015,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,數位圖文傳播科技(產訓合作)(五股) ,工業類,2015/7/30,2016/1/29,專科(含)以上,1000,84.21%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,自動控制與智慧節能工程班(泰山),工業類,2015/9/14,2016/3/4,專科(含)以上,920,84.21%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,數位圖文傳播科技(泰山),工業類,2015/3/31,2015/9/11,專科(含)以上,920,84.21%
2015,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,水電(五股),工業類,2015/8/4,2016/2/1,高中/職(含)以上,1000,84.21%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,會議展覽專業(高雄),商業類,2015/4/14,2015/6/8,高中/職(含)以上,300,84.21%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,銲接(高雄),工業類,2015/7/14,2015/12/30,國中(含)以上,900,84.21%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2012/11/6,2012/11/14,不限,56,84.62%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,數位設計(網路技術&美工網頁),工業類,2012/7/18,2012/12/28,高中/職(含)以上,936,84.62%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,國際貿易行銷,商業類,2012/1/12,2012/4/19,高中/職(含)以上,476,84.62%
2012,行政院勞工委員會職業訓練局泰山職業訓練中心,新北市泰山區貴子里致遠新村55之1號,光電通訊工程,工業類,2012/1/11,2012/6/28,高中/職(含)以上,900,84.62%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,精密塑模設計與製造A班,工業類,2013/3/25,2013/9/12,高中/職(含)以上,920,84.62%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電路板基礎工程新進工程師,工業類,2013/7/22,2013/8/9,專科(含)以上,112,84.62%
2013,勞動力發展署桃竹苗分署,桃園市復興區高義村4鄰36號,復興鄉觀光導覽實務班,商業類,2013/9/2,2013/10/24,不限,240,84.62%
2013,勞動力發展署雲嘉南分署,雲林縣北港鎮太平路80號(雲林訓練場位於北港農工校內),精緻農業經營與行銷班,農業類,2013/8/27,2013/11/15,國中(含)以上,282,84.62%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,冷凍空調,工業類,2014/7/24,2014/12/26,高中/職(含)以上,888,84.62%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,工廠自動化(PLC＆儀控),工業類,2014/7/24,2014/12/26,專科(含)以上,888,84.62%
2014,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,旅遊從業人員,商業類,2014/10/1,2014/12/12,高中/職(含)以上,392,84.62%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區幼獅路２段3號,雲端網路班（幼獅）,工業類,2015/7/21,2015/12/29,專科(含)以上,900,84.62%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,工廠自動化(PLC＆儀控),工業類,2015/1/21,2015/6/26,專科(含)以上,840,84.62%
2015,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,烘焙(台南),商業類,2015/7/22,2015/12/25,高中/職(含)以上,888,84.62%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,中餐烹調專業,醫事護理及家事類,2013/4/11,2013/6/28,國中(含)以上,440,84.85%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦輔助設計機械製圖(生活產品組),工業類,2012/1/11,2012/5/3,專科(含)以上,600,85.00%
2012,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦數值控制銑床,工業類,2012/5/14,2012/8/27,高中/職(含)以上,600,85.00%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,虛擬主機架設與管理,工業類,2012/4/10,2012/7/27,高中/職(含)以上,600,85.00%
2012,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,會議展覽專業,商業類,2012/10/3,2012/11/28,高中/職(含)以上,300,85.00%
2013,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,微晶片電子控制A班(工業電子),工業類,2013/4/1,2013/9/17,高中/職(含)以上,912,85.00%
2013,勞動力發展署北基宜花金馬分署,宜蘭縣員山鄉員山路３段500巷1號,水電(宜蘭),工業類,2013/9/16,2014/3/5,高中/職(含)以上,900,85.00%
2013,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,銲接(基隆),工業類,2013/12/2,2014/7/11,國中(含)以上,1200,85.00%
2013,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,水電空調(五股),工業類,2013/3/8,2013/9/18,高中/職(含)以上,1080,85.00%
2013,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械設計與製造(五股),工業類,2013/7/2,2013/12/10,專科(含)以上,900,85.00%
2013,勞動力發展署桃竹苗分署,桃園市桃園區東國街14號(東門國小忠孝樓),優質內衣車縫師,醫事護理及家事類,2013/11/14,2014/3/14,不限,640,85.00%
2013,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,虛擬主機架設與管理,工業類,2013/1/4,2013/5/2,高中/職(含)以上,600,85.00%
2013,行政院勞工委員會職業訓練局泰山職業訓練中心,新北市泰山區貴子里致遠新村55之1號,光電通訊工程,工業類,2013/1/4,2013/6/26,高中/職(含)以上,900,85.00%
2014,勞動力發展署北基宜花金馬分署,新北市五股區五工五路47號1樓,電腦輔助機械製圖(五股),工業類,2014/8/18,2015/1/29,高中/職(含)以上,920,85.00%
2014,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,銲接(泰山),工業類,2014/4/14,2014/11/13,高中/職(含)以上,1200,85.00%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,電腦數值控制機械-CNC銑車中心班,工業類,2014/9/1,2014/12/16,高中/職(含)以上,600,85.00%
2015,勞動力發展署北基宜花金馬分署,花蓮縣花蓮市華西路123號,玉石鑲嵌(花蓮),藝術類,2015/1/13,2015/7/6,國中(含)以上,920,85.00%
2015,勞動力發展署北基宜花金馬分署,基隆市中正區平一路21號之5,電腦輔助機械製圖(基隆),工業類,2015/7/20,2015/12/29,高中/職(含)以上,920,85.00%
2015,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,電機設計維修工程班(泰山),工業類,2015/5/5,2015/10/15,專科(含)以上,920,85.00%
2015,勞動力發展署高屏澎東分署,高雄市前鎮區凱旋四路105號,旅遊從業人員(高雄),商業類,2015/7/14,2015/9/22,高中/職(含)以上,392,85.00%
2012,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦裝修,工業類,2012/10/22,2013/1/11,高中/職(含)以上,456,85.19%
2012,勞動力發展署桃竹苗分署,桃園市桃園區東國街14號,優質內衣車縫師,醫事護理及家事類,2012/10/25,2013/2/21,國中(含)以上,640,85.19%
2012,勞動力發展署雲嘉南分署,臺南市官田區工業路40號,電腦輔助機械繪圖,工業類,2012/1/11,2012/6/22,高中/職(含)以上,880,85.19%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,機車修護創業,工業類,2013/11/19,2014/1/24,國中(含)以上,384,85.19%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,堆高機操作,工業類,2013/1/21,2013/1/29,不限,56,85.19%
